Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,156
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,752
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,1915
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,5391
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,12955
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,21152
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,24359
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,24471
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,2
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,91153
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,32
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,79
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,179
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,511
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,1954
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,4471
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,5862
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,5332
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,18421
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,76
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,308
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,795
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2250
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,4886
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,7236
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,6580
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,5008
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,27141
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,138
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,537
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1377
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,4117
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,9946
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,17394
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,20434
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,85+,19758
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,2
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory failure,J96,All Ages,73703
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,9
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,31
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,83
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,209
