date,cases_total,deaths_total,hospitalizations_total,cases_age_0_17,cases_age_18_29,cases_age_30_39,cases_age_40_49,cases_age_50_59,cases_age_60_69,cases_age_70_79,cases_age_80_,cases_age_unknown,cases_female,cases_male,cases_unknown_gender,cases_latinx,cases_asian_non_latinx,cases_black_non_latinx,cases_white_non_latinx,cases_other_non_latinx,cases_unknown_race_eth,deaths_0_17_yrs,deaths_18_29_yrs,deaths_30_39_yrs,deaths_40_49_yrs,deaths_50_59_yrs,deaths_60_69_yrs,deaths_70_79_yrs,deaths_80_yrs,deaths_unknown_age,deaths_female,deaths_male,deaths_unknown_gender,deaths_latinx,deaths_asian_non_latinx,deaths_black_non_latinx,deaths_white_non_latinx,deaths_other_non_latinx,deaths_unknown_race_eth,hospitalizations_age_0_17,hospitalizations_age_18_29,hospitalizations_age_30_39,hospitalizations_age_40_49,hospitalizations_age_50_59,hospitalizations_age_60_69,hospitalizations_age_70_79,hospitalizations_age_80_,hospitalizations_age_unknown,hospitalizations_female,hospitalizations_male,hospitalizations_unknown_gender,hospitalizations_latinx,hospitalizations_asian_non_latinx,hospitalizations_black_non_latinx,hospitalizations_white_non_latinx,hospitalizations_other_race_non_latinx,hospitalizations_unknown_race_ethnicity,ventilators_total_capacity,ventilators_in_use_total,ventilators_in_use_covid_19,ventilators_in_use_covid_19_patients,ventilators_in_use_covid_19_pui,ventilators_in_use_non_covid_19,ventilators_available_total,ventilators_available_hospital,ventilators_available_eamc_cache,icu_beds_total_capacity,icu_beds_adult,icu_beds_pediatric,icu_beds_in_use_total,icu_beds_in_use_covid_19,icu_beds_in_use_covid_19_patients,icu_beds_in_use_covid_19_pui,icu_beds_in_use_non_covid_19,icu_beds_available_total,icu_beds_available_adult,icu_beds_available_pediatric,acute_non_icu_beds_total_capacity,acute_non_icu_beds_in_use_total,acute_non_icu_beds_in_use_covid_19,acute_non_icu_beds_in_use_covid_19_patients,acute_non_icu_beds_in_use_covid_19_pui,acute_non_icu_beds_in_use_non_covid_19,acute_non_icu_beds_available_total,combined_hospital_beds_in_use_covid_19,daily_update_pdf,ventilator_surge_capacity,icu_beds_surge_capacity_adult,icu_beds_surge_capacity_pediatric
2020-03-29T00:00:00.000,282,20,130,4,29,48,54,50,50,30,17,0,128,154,0,55,11,145,38,10,23,0,1,0,1,4,4,6,4,0,3,17,0,2,2,14,2,0,0,0,5,12,25,23,27,24,14,0,57,73,0,21,3,92,11,2,1,1078,544,211,149,62,333,534,410,124,970,785,185,762,307,196,111,455,208,174,34,6580,4942,,,,,1638,,{'url': 'https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf'},196,218,8
2020-03-01T00:00:00.000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02T00:00:00.000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03T00:00:00.000,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04T00:00:00.000,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,3,0,0,0,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05T00:00:00.000,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,4,0,0,0,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-23T00:00:00.000,315,2,32,33,101,67,43,35,17,12,7,0,187,127,1,93,13,79,72,14,44,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,4,8,4,6,2,5,3,0,16,16,0,14,1,11,4,1,1,1991,513,43,35,8,470,1478,1428,50,1344,1173,171,866,85,55,30,781,478,430,48,8064,5599,413,177,236,5186,2465,498,{'url': 'https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.24_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf'},,,
2020-10-05T00:00:00.000,536,3,23,52,153,112,90,66,38,21,4,0,258,278,0,197,10,94,94,21,120,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,2,0,1,0,4,3,2,3,4,5,2,0,10,13,0,6,0,12,4,0,1,2057,629,34,27,7,595,1428,1378,50,1283,1105,178,820,87,57,30,733,463,389,74,8248,5892,285,144,141,5607,2356,372,{'url': 'https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.10.06_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf'},,,
2020-03-08T00:00:00.000,3,0,9,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,2,0,3,6,0,2,0,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-06T00:00:00.000,141,2,12,16,43,29,17,18,10,3,5,0,72,68,1,55,0,27,37,2,20,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,2,0,3,2,3,0,8,4,0,4,0,4,1,0,3,2039,704,33,25,8,671,1335,1285,50,1276,1105,171,743,91,55,36,652,533,476,57,8260,5866,233,109,124,5633,2394,324,{'url': 'https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.09.07_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf'},,,
