date,date_formatted,month
2020-03-01T00:00:00.000,3/1/2020,3
2020-03-02T00:00:00.000,3/2/2020,3
2020-03-03T00:00:00.000,3/3/2020,3
2020-03-04T00:00:00.000,3/4/2020,3
2020-03-05T00:00:00.000,3/5/2020,3
2020-03-06T00:00:00.000,3/6/2020,3
2020-03-07T00:00:00.000,3/7/2020,3
2020-03-08T00:00:00.000,3/8/2020,3
2020-03-09T00:00:00.000,3/9/2020,3
2020-03-10T00:00:00.000,3/10/2020,3
2020-03-11T00:00:00.000,3/11/2020,3
2020-03-12T00:00:00.000,3/12/2020,3
2020-03-13T00:00:00.000,3/13/2020,3
2020-03-14T00:00:00.000,3/14/2020,3
2020-03-15T00:00:00.000,3/15/2020,3
2020-03-16T00:00:00.000,3/16/2020,3
2020-03-17T00:00:00.000,3/17/2020,3
2020-03-18T00:00:00.000,3/18/2020,3
2020-03-19T00:00:00.000,3/19/2020,3
2020-03-20T00:00:00.000,3/20/2020,3
2020-03-21T00:00:00.000,3/21/2020,3
2020-03-22T00:00:00.000,3/22/2020,3
2020-03-23T00:00:00.000,3/23/2020,3
2020-03-24T00:00:00.000,3/24/2020,3
2020-03-25T00:00:00.000,3/25/2020,3
2020-03-26T00:00:00.000,3/26/2020,3
2020-03-27T00:00:00.000,3/27/2020,3
2020-03-28T00:00:00.000,3/28/2020,3
2020-03-29T00:00:00.000,3/29/2020,3
2020-03-30T00:00:00.000,3/30/2020,3
2020-03-31T00:00:00.000,3/31/2020,3
2020-04-01T00:00:00.000,4/1/2020,4
2020-04-02T00:00:00.000,4/2/2020,4
2020-04-03T00:00:00.000,4/3/2020,4
2020-04-04T00:00:00.000,4/4/2020,4
2020-04-05T00:00:00.000,4/5/2020,4
2020-04-06T00:00:00.000,4/6/2020,4
2020-04-07T00:00:00.000,4/7/2020,4
2020-04-08T00:00:00.000,4/8/2020,4
2020-04-09T00:00:00.000,4/9/2020,4
2020-04-10T00:00:00.000,4/10/2020,4
2020-04-11T00:00:00.000,4/11/2020,4
2020-04-12T00:00:00.000,4/12/2020,4
2020-04-13T00:00:00.000,4/13/2020,4
2020-04-14T00:00:00.000,4/14/2020,4
2020-04-15T00:00:00.000,4/15/2020,4
2020-04-16T00:00:00.000,4/16/2020,4
2020-04-17T00:00:00.000,4/17/2020,4
2020-04-18T00:00:00.000,4/18/2020,4
2020-04-19T00:00:00.000,4/19/2020,4
2020-04-20T00:00:00.000,4/20/2020,4
2020-04-21T00:00:00.000,4/21/2020,4
