date,date_formatted,month,day,cases_total,deaths_total,hospitalizations_total,cases_age_0_17,cases_age_18_29,cases_age_30_39,cases_age_40_49,cases_age_50_59,cases_age_60_69,cases_age_70_79,cases_age_80_,cases_age_unknown,cases_female,cases_male,cases_unknown_gender,cases_latinx,cases_asian_non_latinx,cases_black_non_latinx,cases_white_non_latinx,cases_other_non_latinx,cases_unknown_race_eth,deaths_0_17_yrs,deaths_18_29_yrs,deaths_30_39_yrs,deaths_40_49_yrs,deaths_50_59_yrs,deaths_60_69_yrs,deaths_70_79_yrs,deaths_80_yrs,deaths_unknown_age,deaths_female,deaths_male,deaths_unknown_gender,deaths_latinx,deaths_asian_non_latinx,deaths_black_non_latinx,deaths_white_non_latinx,deaths_other_non_latinx,deaths_unknown_race_eth,hospitalizations_age_0_17,hospitalizations_age_18_29,hospitalizations_age_30_39,hospitalizations_age_40_49,hospitalizations_age_50_59,hospitalizations_age_60_69,hospitalizations_age_70_79,hospitalizations_age_80_,hospitalizations_age_unknown,hospitalizations_female,hospitalizations_male,hospitalizations_unknown_gender,hospitalizations_latinx,hospitalizations_asian_non_latinx,hospitalizations_black_non_latinx,hospitalizations_white_non_latinx,hospitalizations_other_race_non_latinx,hospitalizations_unknown_race_ethnicity,ventilators_total_capacity,ventilators_in_use_total,ventilators_in_use_covid_19,ventilators_in_use_covid_19_patients,ventilators_in_use_covid_19_pui,ventilators_in_use_non_covid_19,ventilators_available_total,ventilators_available_hospital,ventilators_available_eamc_cache,icu_beds_total_capacity,icu_beds_adult,icu_beds_pediatric,icu_beds_in_use_total,icu_beds_in_use_covid_19,icu_beds_in_use_covid_19_patients,icu_beds_in_use_covid_19_pui,icu_beds_in_use_non_covid_19,icu_beds_available_total,icu_beds_available_adult,icu_beds_available_pediatric,acute_non_icu_beds_total_capacity,acute_non_icu_beds_in_use_total,acute_non_icu_beds_in_use_covid_19,acute_non_icu_beds_in_use_covid_19_patients,acute_non_icu_beds_in_use_covid_19_pui,acute_non_icu_beds_in_use_non_covid_19,acute_non_icu_beds_available_total,combined_hospital_beds_in_use_covid_19,daily_update_pdf,ventilator_surge_capacity,icu_beds_surge_capacity_adult,icu_beds_surge_capacity_pediatric,people_tested_total,people_positive_total,people_not_positive_total,people_tested_age_0_17,people_tested_age_18_29,people_tested_age_30_39,people_tested_age_40_49,people_tested_age_50_59,people_tested_age_60_69,people_tested_age_70_79,people_tested_age_80_,people_tested_age_unknown,people_tested_female,people_tested_male,people_tested_gender_unknown,people_tested_latinx,people_tested_asian_non_latinx,people_tested_black_non_latinx,people_tested_white_non_latinx,people_tested_other_race_non_latinx,people_tested_unknown_race_ethnicity,people_positive_age_0_17,people_positive_age_18_29,people_positive_age_30_39,people_positive_age_40_49,people_positive_age_50_59,people_positive_age_60_69,people_positive_age_70_79,people_positive_age_80_,people_positive_age_unknown,people_positive_female,people_positive_male,people_positive_gender_unknown,people_positive_latinx,people_positive_asian_non_latinx,people_positive_black_non_latinx,people_positive_white_non_latinx,people_positive_other_race_non_latinx,people_positive_unknown_race_ethnicity,people_not_positive_age_0_17,people_not_positive_age_18_29,people_not_positive_age_30_39,people_not_positive_age_40_49,people_not_positive_age_50_59,people_not_positive_age_60_69,people_not_positive_age_70_79,people_not_positive_age_80_,people_not_positive_age_unknown,people_not_positive_female,people_not_positive_male,people_not_positive_gender_unknown,people_not_positive_latinx,people_not_positive_asian_non_latinx,people_not_positive_black_non_latinx,people_not_positive_white_non_latinx,people_not_positive_other_race_non_latinx,people_not_positive_unknown_race_ethnicity
2020-03-07T00:00:00.000,3/7/2020,03 -Mar,Saturday,1,0,3.285714286,0,0,0,0.285714286,0.285714286,0.142857143,0.285714286,0,0,0.571428571,0.428571429,0,0,0,0.428571429,0.428571429,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.571428571,0.857142857,0.571428571,0.285714286,0.714285714,0.142857143,0,1.285714286,2,0,0.285714286,0,1.571428571,1.285714286,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14285714,1,18.14285714,3.571428571,3,2.142857143,2.571428571,3.571428571,1,2.142857143,1,0.142857143,11,8.142857143,0,2,1.142857143,3.857142857,3.428571429,0.571428571,8.142857143,0,0,0,0.285714286,0.285714286,0.142857143,0.285714286,0,0,0.571428571,0.428571429,0,0,0,0.428571429,0.428571429,0.142857143,0,3.571428571,3,2.142857143,2.285714286,3.285714286,0.857142857,1.857142857,1,0.142857143,10.42857143,7.714285714,0,2,1.142857143,3.428571429,3,0.428571429,8.142857143
2020-03-08T00:00:00.000,3/8/2020,03 -Mar,Sunday,1.428571429,0,4.285714286,0,0,0.142857143,0.428571429,0.285714286,0.142857143,0.428571429,0,0,0.714285714,0.714285714,0,0.142857143,0,0.428571429,0.714285714,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.571428571,0.857142857,0.857142857,0.428571429,1,0.428571429,0,1.571428571,2.714285714,0,0.571428571,0,2.285714286,1.285714286,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.42857143,1.428571429,24,5.714285714,3.857142857,3,2.857142857,4.285714286,2.142857143,2.285714286,1.142857143,0.142857143,13.71428571,11.57142857,0.142857143,2.571428571,1.285714286,5.142857143,4.857142857,0.857142857,10.71428571,0,0,0.142857143,0.428571429,0.285714286,0.142857143,0.428571429,0,0,0.714285714,0.714285714,0,0.142857143,0,0.428571429,0.714285714,0.142857143,0,5.714285714,3.857142857,2.857142857,2.428571429,4,2,1.857142857,1.142857143,0.142857143,13,10.85714286,0.142857143,2.428571429,1.285714286,4.714285714,4.142857143,0.714285714,10.71428571
2020-03-09T00:00:00.000,3/9/2020,03 -Mar,Monday,2.142857143,0,4.428571429,0.428571429,0,0.142857143,0.428571429,0.285714286,0.142857143,0.571428571,0.142857143,0,1.142857143,1,0,0.428571429,0.142857143,0.571428571,0.857142857,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,1,0.857142857,0.428571429,1.142857143,0.428571429,0,1.428571429,3,0,0.571428571,0,2.142857143,1.428571429,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.28571429,2.142857143,31.14285714,8.714285714,5.285714286,4.571428571,3,5.142857143,2.428571429,2.571428571,1.428571429,0.142857143,18.28571429,14.57142857,0.428571429,3.571428571,1.714285714,6.428571429,6.571428571,1.571428571,13.42857143,0.428571429,0,0.142857143,0.428571429,0.285714286,0.142857143,0.571428571,0.142857143,0,1.142857143,1,0,0.428571429,0.142857143,0.571428571,0.857142857,0.142857143,0,8.285714286,5.285714286,4.428571429,2.571428571,4.857142857,2.285714286,2,1.285714286,0.142857143,17.14285714,13.57142857,0.428571429,3.142857143,1.571428571,5.857142857,5.714285714,1.428571429,13.42857143
2020-03-10T00:00:00.000,3/10/2020,03 -Mar,Tuesday,3.714285714,0,5.142857143,0.571428571,0.285714286,0.571428571,0.714285714,0.285714286,0.142857143,0.857142857,0.285714286,0,2.285714286,1.428571429,0,0.428571429,0.285714286,0.714285714,1.857142857,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.428571429,0.714285714,0.857142857,1,1.428571429,0.571428571,0,1.857142857,3.285714286,0,0.571428571,0,2.428571429,1.571428571,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.85714286,3.714285714,35.14285714,11.71428571,6.428571429,5.714285714,3.285714286,5.428571429,2.142857143,2.714285714,1.142857143,0.285714286,20.85714286,17.28571429,0.714285714,4.571428571,1.571428571,6.571428571,9.285714286,2.285714286,14.57142857,0.571428571,0.285714286,0.571428571,0.714285714,0.285714286,0.142857143,0.857142857,0.285714286,0,2.285714286,1.428571429,0,0.428571429,0.285714286,0.714285714,1.857142857,0.428571429,0,11.14285714,6.142857143,5.142857143,2.571428571,5.142857143,2,1.857142857,0.857142857,0.285714286,18.57142857,15.85714286,0.714285714,4.142857143,1.285714286,5.857142857,7.428571429,1.857142857,14.57142857
2020-03-11T00:00:00.000,3/11/2020,03 -Mar,Wednesday,5.428571429,0,5.857142857,0.571428571,0.714285714,0.714285714,1.142857143,0.714285714,0.428571429,0.857142857,0.285714286,0,2.714285714,2.714285714,0,0.714285714,0.285714286,1.428571429,2.571428571,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.571428571,1.142857143,1,1.285714286,1.142857143,0.571428571,0,2.285714286,3.571428571,0,0.857142857,0,2.714285714,1.714285714,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.14285714,5.428571429,35.71428571,10.71428571,7.142857143,6.714285714,4.857142857,5,3.142857143,2.142857143,1,0.428571429,22.42857143,17.28571429,1.428571429,5.428571429,1.285714286,6.142857143,10.71428571,2.571428571,15,0.571428571,0.714285714,0.714285714,1.142857143,0.714285714,0.428571429,0.857142857,0.285714286,0,2.714285714,2.714285714,0,0.714285714,0.285714286,1.428571429,2.571428571,0.428571429,0,10.14285714,6.428571429,6,3.714285714,4.285714286,2.714285714,1.285714286,0.714285714,0.428571429,19.71428571,14.57142857,1.428571429,4.714285714,1,4.714285714,8.142857143,2.142857143,15
2020-03-12T00:00:00.000,3/12/2020,03 -Mar,Thursday,8.285714286,0,6.142857143,0.571428571,1.571428571,1.428571429,1.428571429,1.142857143,0.857142857,1,0.285714286,0,3.428571429,4.857142857,0,1,0.285714286,1.571428571,4.714285714,0.428571429,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.571428571,1,1,1.571428571,1.285714286,0.571428571,0,2.571428571,3.571428571,0,0.857142857,0.142857143,3,1.571428571,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.85714286,8.285714286,43.57142857,11.14285714,9.571428571,9.428571429,5.857142857,6.571428571,3.714285714,3.142857143,1.142857143,1.285714286,27.28571429,22.85714286,1.714285714,6.285714286,1.285714286,6.714285714,14,3,20.57142857,0.571428571,1.571428571,1.428571429,1.428571429,1.142857143,0.857142857,1,0.285714286,0,3.428571429,4.857142857,0,1,0.285714286,1.571428571,4.714285714,0.428571429,0.285714286,10.57142857,8,8,4.428571429,5.428571429,2.857142857,2.142857143,0.857142857,1.285714286,23.85714286,18,1.714285714,5.285714286,1,5.142857143,9.285714286,2.571428571,20.28571429
2020-03-13T00:00:00.000,3/13/2020,03 -Mar,Friday,12.42857143,0,7.428571429,0.571428571,2.142857143,3.285714286,1.857142857,1.857142857,1.428571429,1,0.285714286,0,4.571428571,7.857142857,0,1.571428571,0.571428571,2.142857143,7,0.285714286,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.857142857,1,1.142857143,2.285714286,1.428571429,0.571428571,0,3.285714286,4.142857143,0,1,0.142857143,3.571428571,2.142857143,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.42857143,12.42857143,57,12.57142857,12.71428571,15.14285714,8.142857143,9.142857143,5.142857143,4,1.428571429,1.142857143,33.71428571,31.42857143,4.285714286,7.714285714,2.142857143,7.714285714,17.71428571,2.714285714,31.42857143,0.571428571,2.142857143,3.285714286,1.857142857,1.857142857,1.428571429,1,0.285714286,0,4.571428571,7.857142857,0,1.571428571,0.571428571,2.142857143,7,0.285714286,0.857142857,12,10.57142857,11.85714286,6.285714286,7.285714286,3.714285714,3,1.142857143,1.142857143,29.14285714,23.57142857,4.285714286,6.142857143,1.571428571,5.571428571,10.71428571,2.428571429,30.57142857
2020-03-14T00:00:00.000,3/14/2020,03 -Mar,Saturday,16.42857143,0,8.571428571,0.571428571,3.428571429,3.571428571,2.857142857,2.571428571,1.857142857,1.142857143,0.428571429,0,6.571428571,9.571428571,0.285714286,1.857142857,0.857142857,3.285714286,9.285714286,0.285714286,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.857142857,0.857142857,1.428571429,2.571428571,1.857142857,0.857142857,0,4.285714286,4.285714286,0,1.428571429,0.142857143,4.142857143,2.428571429,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.71428571,16.42857143,71.28571429,13.28571429,17.14285714,17.57142857,11,12.14285714,7.857142857,5.142857143,1.714285714,1.857142857,42.28571429,40.42857143,5,8.857142857,2.571428571,11.42857143,23.14285714,3.285714286,38.42857143,0.571428571,3.428571429,3.571428571,2.857142857,2.571428571,1.857142857,1.142857143,0.428571429,0,6.571428571,9.571428571,0.285714286,1.857142857,0.857142857,3.285714286,9.285714286,0.285714286,0.857142857,12.71428571,13.71428571,14,8.142857143,9.571428571,6,4,1.285714286,1.857142857,35.71428571,30.85714286,4.714285714,7,1.714285714,8.142857143,13.85714286,3,37.57142857
2020-03-15T00:00:00.000,3/15/2020,03 -Mar,Sunday,21.71428571,0,10.71428571,0.571428571,3.857142857,4.571428571,4,3.714285714,2.571428571,1.571428571,0.857142857,0,8.285714286,13.14285714,0.285714286,2.571428571,1.428571429,5,11.28571429,0.285714286,1.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,1,1.714285714,1.714285714,3.142857143,2,0.857142857,0,5.142857143,5.571428571,0,1.714285714,0.428571429,5.428571429,2.714285714,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.7142857,21.71428571,85,13.57142857,21,22.28571429,14.42857143,14.85714286,9.142857143,7,2.571428571,1.857142857,52.71428571,49,5,11.71428571,3.714285714,16.71428571,27.14285714,4.142857143,43.28571429,0.571428571,3.857142857,4.571428571,4,3.714285714,2.571428571,1.571428571,0.857142857,0,8.285714286,13.14285714,0.285714286,2.571428571,1.428571429,5,11.28571429,0.285714286,1.142857143,13,17.14285714,17.71428571,10.42857143,11.14285714,6.571428571,5.428571429,1.714285714,1.857142857,44.42857143,35.85714286,4.714285714,9.142857143,2.285714286,11.71428571,15.85714286,3.857142857,42.14285714
2020-03-16T00:00:00.000,3/16/2020,03 -Mar,Monday,32.14285714,0.142857143,12.71428571,0.285714286,5.857142857,7.571428571,6.571428571,5.428571429,3.571428571,2,0.857142857,0,13.14285714,18.71428571,0.285714286,3.428571429,2.142857143,8.428571429,15.42857143,0.285714286,2.428571429,0,0,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0,0.142857143,0,0,0,0,0.571428571,0.857142857,2.571428571,2.142857143,3.428571429,2.142857143,1,0,5.571428571,7.142857143,0,1.857142857,0.428571429,7,3.142857143,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.1428571,32.14285714,126,16.85714286,31.42857143,33.57142857,22.28571429,23.71428571,14.57142857,9.285714286,3.857142857,2.571428571,81.14285714,71.14285714,5.857142857,15.28571429,5,24.28571429,36.14285714,5.428571429,72,0.285714286,5.857142857,7.571428571,6.571428571,5.428571429,3.571428571,2,0.857142857,0,13.14285714,18.71428571,0.285714286,3.428571429,2.142857143,8.428571429,15.42857143,0.285714286,2.428571429,16.57142857,25.57142857,26,15.71428571,18.28571429,11,7.285714286,3,2.571428571,68,52.42857143,5.571428571,11.85714286,2.857142857,15.85714286,20.71428571,5.142857143,69.57142857
